Price,Adj Close,Close,High,Low,Open,Volume,Daily Return,Cumulative Return
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,
Date,,,,,,,,
2020-12-22,23783.029296875,23783.029296875,23789.90234375,22430.60546875,22794.0390625,44171632681,0.042974334095805755,2.5988426454051012
2020-12-23,23241.345703125,23241.345703125,24024.490234375,22802.646484375,23781.974609375,51146161904,-0.022776055438033516,2.539651261238629
2020-12-24,23735.94921875,23735.94921875,23768.337890625,22777.59765625,23240.203125,41080759713,0.021281190940612982,2.593698064651617
2020-12-25,24664.791015625,24664.791015625,24710.1015625,23463.673828125,23733.5703125,42068395846,0.03913227940938091,2.6951953820211343
2020-12-26,26437.037109375,26437.037109375,26718.0703125,24522.689453125,24677.015625,48332647295,0.07185327832809496,2.8888540059540952
2020-12-27,26272.294921875,26272.294921875,28288.83984375,25922.76953125,26439.373046875,66479895605,-0.0062314920850786715,2.8708521350810443
2020-12-28,27084.80859375,27084.80859375,27389.111328125,26207.640625,26280.822265625,49056742893,0.03092663485588698,2.9596379307879395
2020-12-29,27362.4375,27362.4375,27370.720703125,25987.298828125,27081.810546875,45265946774,0.010250355112868093,2.98997527058403
2020-12-30,28840.953125,28840.953125,28937.740234375,27360.08984375,27360.08984375,51287442704,0.054034499850387885,3.1515370888950662
2020-12-31,29001.720703125,29001.720703125,29244.876953125,28201.9921875,28841.57421875,46754964848,0.005574281038085438,3.169104642330517
2021-01-01,29374.15234375,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359,0.012841708408869223,3.209801360064519
2021-01-02,32127.267578125,32127.267578125,33155.1171875,29091.181640625,29376.455078125,67865420765,0.09372577639540935,3.510642484611607
2021-01-03,32782.0234375,32782.0234375,34608.55859375,32052.31640625,32129.408203125,78665235202,0.020380066800975483,3.5821896129623343
2021-01-04,31971.9140625,31971.9140625,33440.21875,28722.755859375,32810.94921875,81163475344,-0.024712000360334718,3.493666541956022
2021-01-05,33992.4296875,33992.4296875,34437.58984375,30221.1875,31977.041015625,67547324782,0.06319658000613337,3.714454319089497
2021-01-06,36824.36328125,36824.36328125,36879.69921875,33514.03515625,34013.61328125,75289433811,0.08331071417326141,4.023908161176799
2021-01-07,39371.04296875,39371.04296875,40180.3671875,36491.19140625,36833.875,84762141031,0.0691574669750421,4.302191456943985
2021-01-08,40797.609375,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480,0.0362338992996023,4.458076628962503
2021-01-09,40254.546875,40254.546875,41436.3515625,38980.875,40788.640625,61984162837,-0.013311135341493308,4.398734567591634
2021-01-10,38356.44140625,38356.44140625,41420.19140625,35984.62890625,40254.21875,79980747690,-0.047152573214749416,4.191322913841021
2021-01-11,35566.65625,35566.65625,38346.53125,30549.599609375,38346.53125,123320567399,-0.07273315912449108,3.8864747574064964
2021-01-12,33922.9609375,33922.9609375,36568.52734375,32697.9765625,35516.359375,74773277909,-0.046214502171538774,3.706863261290703
2021-01-13,37316.359375,37316.359375,37599.9609375,32584.66796875,33915.12109375,69364315979,0.10003249550509552,4.077670043813769
2021-01-14,39187.328125,39187.328125,39966.40625,36868.5625,37325.109375,63615990033,0.050138030111625875,4.282116387255779
2021-01-15,36825.3671875,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881,-0.06027358971670127,4.024017861011161
2021-01-16,36178.140625,36178.140625,37864.3671875,35633.5546875,36821.6484375,57706187875,-0.017575563040677422,3.953293481418147
2021-01-17,35791.27734375,35791.27734375,36722.3515625,34069.3203125,36163.6484375,52359854336,-0.010693288117263444,3.9110197752092435
2021-01-18,36630.07421875,36630.07421875,37299.28515625,34883.84375,35792.23828125,49511702429,0.023435790428599335,4.002677615023155
2021-01-19,36069.8046875,36069.8046875,37755.890625,36069.8046875,36642.234375,57244195486,-0.015295342507474663,3.941455289954374
2021-01-20,35547.75,35547.75,36378.328125,33570.4765625,36050.11328125,66834573161,-0.014473454791977813,3.8844088150006177
2021-01-21,30825.69921875,30825.69921875,35552.6796875,30250.75,35549.3984375,75643067688,-0.1328368400602007,3.368416222513947
2021-01-22,33005.76171875,33005.76171875,33811.8515625,28953.373046875,30817.625,77207272511,0.07072224005462169,3.6066381632064606
2021-01-23,32067.642578125,32067.642578125,33360.9765625,31493.16015625,32985.7578125,48354737975,-0.02842289017956734,3.5041270827762068
2021-01-24,32289.37890625,32289.37890625,32944.0078125,31106.685546875,32064.376953125,48643830599,0.006914643868341619,3.528356873623015
2021-01-25,32366.392578125,32366.392578125,34802.7421875,32087.787109375,32285.798828125,59897054838,0.0023851084933719235,3.53677238756994
2021-01-26,32569.849609375,32569.849609375,32794.55078125,31030.265625,32358.61328125,60255421470,0.006286058316783416,3.559004745051394
2021-01-27,30432.546875,30432.546875,32564.029296875,29367.138671875,32564.029296875,62576762015,-0.06562212475675022,3.3254552916617657
2021-01-28,33466.09765625,33466.09765625,33858.3125,30023.20703125,30441.041015625,76517157706,0.09968113394222766,3.6569404460087918
2021-01-29,34316.38671875,34316.38671875,38406.26171875,32064.814453125,34318.671875,117894572511,0.02540747568580648,3.749854071475202
2021-01-30,34269.5234375,34269.5234375,34834.70703125,32940.1875,34295.93359375,65141828798,-0.0013656239986477026,3.744733180763769
2021-01-31,33114.359375,33114.359375,34288.33203125,32270.17578125,34270.87890625,52754542671,-0.03370820328466961,3.618504953459736
2021-02-01,33537.17578125,33537.17578125,34638.21484375,32384.228515625,33114.578125,61400400660,0.012768370405776608,3.6647073650206474
2021-02-02,35510.2890625,35510.2890625,35896.8828125,33489.21875,33533.19921875,63088585433,0.05883361479570781,3.8803153464732656
2021-02-03,37472.08984375,37472.08984375,37480.1875,35443.984375,35510.8203125,61166818159,0.055245981743407446,4.094687177263191
2021-02-04,36926.06640625,36926.06640625,38592.17578125,36317.5,37475.10546875,68838074392,-0.014571470120209207,4.035021565408097
2021-02-05,38144.30859375,38144.30859375,38225.90625,36658.76171875,36931.546875,58598066402,0.032991388091470286,4.168142527829927
2021-02-06,39266.01171875,39266.01171875,40846.546875,38138.38671875,38138.38671875,71326033653,0.029406828078771152,4.290714378553636
